X,Y
6241,1211
6256,435
6256,1794
6256,1584
6257,1015
6261,1612
6264,1200
6265,1422
6286,1138
6288,1112
6291,529
6294,291
6296,392
6302,1673
6315,862
6316,636
6327,1883
6328,1770
6331,926
6332,932
6344,2201
6347,1
6348,644
6348,303
6360,889
6361,1469
6363,1222
6363,1231
6376,1681
6389,595
6390,371
6391,1251
6409,300
6412,1069
6416,1657
6428,1664
6435,450
6442,1833
6449,137
6450,1090
6450,1070
6454,1740
6473,589
6477,1605
6477,795
6485,918
6497,661
6517,1051
6520,636
6521,384
6523,176
6524,2100
6526,115
6538,289
6538,742
6544,395
6560,1292
6560,746
6564,1517
6568,1474
6573,607
6613,105
6622,119
6625,364
6630,244
6648,1036
6650,115
6674,1606
6690,1149
6701,1358
6729,379
6741,1279
6755,680
6758,1654
6779,111
6779,623
6805,858
6812,1693
6816,1464
6830,1305
6835,531
6856,772
6873,1534
6881,1035
6890,1076
6892,1490
6902,688
6909,997
6918,1427
6925,268
6961,1532
6962,177
6962,108
6974,335
6991,488
6995,868
7004,436
7004,853
7008,1005
7011,210
7011,1261
7012,412
7013,991
7014,2033
7020,556
7028,115
7048,822
7055,2348
7066,1398
7072,557
7088,1785
7111,2190
7115,1721
7116,2205
7120,1600
7124,1126
7145,1063
7145,261
7147,358
7151,1469
7153,791
7175,380
7183,446
7187,1131
7196,2305
7197,175
7200,845
7200,962
7204,1045
7211,261
7239,631
7241,1414
7253,2510
7267,1192
7273,1428
7282,1550
7297,1089
7313,358
7320,1198
7340,561
7345,417
7349,454
7349,1231
7354,676
7356,2368
7369,1054
7375,1425
7382,517
7386,351
7388,1442
7391,1244
7399,1691
7421,1590
7437,1453
7450,84
7460,582
7462,2052
7465,1196
7476,791
7477,905
7483,1587
7494,317
7511,1143
7526,843
7550,1633
7557,180
7557,1519
7594,733
7600,1586
7600,503
7611,859
7627,1251
7657,918
7683,1463
7687,603
7688,150
7705,2219
7712,1594
7731,323
7734,457
7741,135
7742,1681
7791,1409
7799,1498
7813,1086
7813,1304
7824,909
7838,1640
7847,1296
7862,744
7876,1565
7878,1160
7888,1580
7889,230
7926,727
7929,2016
7930,608
7961,1289
7964,2132
7964,1394
7967,977
7971,1295
7977,1072
7988,179
8035,1173
8038,137
8038,1619
8039,1395
8041,799
8101,1406
8104,883
8105,738
8106,955
8115,911
8130,1434
8143,1532
8150,184
8161,320
8168,1569
8184,573
8185,1543
8194,429
8200,329
8207,900
8212,516
8238,2479
8248,1601
8253,1311
8259,2463
8276,386
8276,994
8299,766
8312,185
8322,435
8331,388
8356,130
8391,1294
8393,851
8433,2279
8436,1363
8472,489
8475,1460
8482,564
8507,1296
8515,1652
8526,997
8528,115
8531,277
8532,528
8533,1445
8545,1199
8547,1978
8551,1286
8556,727
8559,1523
8562,735
8564,1094
8565,712
8584,171
8593,1313
8596,576
8597,679
8602,501
8606,403
8620,990
8625,1525
8632,1278
8635,2313
8638,532
8654,1376
8664,567
8703,794
8703,1620
8716,2052
8717,517
8729,1048
8736,427
8740,382
8744,1208
8745,1373
8746,1516
8749,813
8752,554
8752,902
8764,1383
8764,1275
8767,175
8769,621
8783,1092
8785,2303
8786,1109
8790,176
8790,626
8803,715
8809,546
8812,995
