X,Y
4839,884
4916,1699
4917,1116
4918,852
4945,1601
4947,1942
4949,1465
4954,565
4966,1511
4985,1570
4986,1242
4989,1437
4990,720
5010,1393
5012,406
5012,1051
5027,994
5028,946
5029,2408
5039,2077
5075,412
5080,1557
5085,788
5087,1206
5098,1188
5100,762
5111,586
5112,659
5141,641
5187,1217
5192,558
5211,1848
5217,749
5240,1488
5265,1846
5329,1351
5340,1064
5368,1943
5370,1256
5374,2272
5418,1281
5419,1480
5421,2461
5423,482
5426,1483
5434,810
5461,816
5464,2252
5478,1341
5511,1217
5515,1501
5547,424
5575,1140
5695,1609
5728,708
5731,1710
5743,2515
5751,2555
5783,2115
5807,2128
5809,549
5833,1330
5854,1512
5903,720
5959,1770
5965,1915
6010,1642
6017,111
6021,607
6021,1100
6028,354
6034,1623
6036,1193
6055,774
6061,374
6076,1693
6088,753
6099,1371
6100,1601
6111,729
6129,897
6138,1504
6140,1607
6152,406
6154,2333
6163,1403
6167,678
6168,1012
6175,855
6193,1566
6198,1551
6228,1689
6229,1335
6243,1462
6253,933
6263,496
6270,1641
6286,1406
6308,1633
6319,1579
6352,1527
6388,343
6406,1637
6407,24
6415,1078
6423,764
6442,525
6453,847
6462,662
6473,633
6475,802
6476,1445
6514,1885
6528,517
6529,414
6538,691
6539,296
6627,614
6669,159
6669,125
6669,1667
6680,135
6683,662
6703,1052
6740,201
6761,319
6764,1376
6771,934
6783,1910
6789,2032
6798,1669
6800,1656
6802,521
6808,426
6836,1088
6837,1356
6840,421
6861,1291
6871,901
6873,1458
6877,2029
6911,1159
6914,1407
6971,1077
6982,1110
6993,2540
7001,2013
7050,1518
7062,1948
7071,2405
7083,1316
7084,1008
7094,1162
7103,374
7108,800
7125,958
7127,230
7131,152
7133,136
7136,453
7138,1631
7140,314
7163,1588
7193,1802
7193,1318
7204,1360
7206,1637
7216,1688
7227,754
7254,2364
7256,589
7278,1546
7282,383
7284,1009
7311,1107
7314,1478
7322,870
7325,1379
7333,1208
7340,138
7348,779
7352,1231
7364,567
7379,281
7385,755
7408,1195
7435,2527
7451,568
7460,266
7479,929
7486,217
7494,426
7497,432
7514,1485
7519,2560
7530,1258
7546,1137
7558,1210
7560,1377
7575,761
7617,1372
7634,2265
7658,404
7672,1506
7700,158
7739,429
7761,765
7787,1310
7797,2074
7801,1371
7805,1924
7821,280
7829,1274
7836,714
7843,363
7846,1281
7862,1295
7870,1572
7877,1254
7920,1684
7942,495
7954,359
7995,1511
8011,162
8014,1501
8029,1194
8051,823
8055,914
8086,612
8106,357
8116,748
8116,274
8121,1674
8125,669
8143,1403
8169,531
8175,452
8185,1293
8215,515
8216,1479
8222,1614
8236,500
8255,1092
8256,1220
8298,755
8331,1414
8333,613
8343,140
8356,46
8359,273
8391,294
8392,1323
8404,1775
8412,701
8412,795
8420,2566
8422,1009
8458,291
8474,250
8478,1947
8483,1493
8492,1448
8499,112
8507,921
8554,708
8555,1121
8591,223
8637,113
8640,1829
8646,1520
8653,2352
8658,165
8676,1623
8678,1386
8689,2268
8703,2456
8709,1869
8719,1466
8745,1281
8783,662
8786,506
8795,493
8802,130
8812,837
